"","cluster","gene","avg_log2FC","p_val","pct.1","pct.2","p_val_adj"
"1","0","Myoz2",5.06,0,0.594,0.338,0
"2","0","2210407C18Rik",4.73,0,0.426,0.248,0
"3","0","Wnt16",4.59,0,0.769,0.532,0
"4","0","Slc22a2",4.45,0,0.489,0.325,0
"5","0","Unc5c",4.4,0,0.832,0.433,0
"6","0","Mia",4.34,0,0.594,0.439,0
"7","0","Ankrd1",4.2,0,0.706,0.449,0
"8","0","Slc22a1",4.18,0,0.641,0.422,0
"9","0","Igfbp2",4.14,0,0.592,0.316,0
"10","0","Ccdc42",4.07,0,0.747,0.5,0
"11","0","Ryr2",4.05,0,0.765,0.449,0
"12","0","Tnc",4.04,0,0.793,0.474,0
"13","0","Tnnt2",4.03,0,0.563,0.368,0
"14","0","Sphkap",3.98,0,0.597,0.378,0
"15","0","Acan",3.94,0,0.606,0.366,0
"16","0","Rgs17",3.91,0,0.596,0.397,0
"17","0","Abra",3.84,0,0.612,0.393,0
"18","0","Bdnf",3.83,0,0.65,0.443,0
"19","0","Gm49708",3.76,0,0.677,0.397,0
"20","0","Fmo3",3.75,0,0.528,0.306,0
"21","1","Kcna1",3.97,0,0.617,0.407,0
"22","1","Mpz",2.71,0,0.563,0.457,0
"23","1","Upk3b",2.44,0,0.694,0.418,0
"24","1","Inmt",1.68,0,0.835,0.386,0
"25","1","Clec3b",1.67,0,0.861,0.521,0
"26","1","Igfbp6",1.65,0,0.771,0.588,0
"27","1","Wt1",1.61,0,0.77,0.299,0
"28","1","Pi16",1.59,0,0.771,0.571,0
"29","1","Slpi",1.55,0,0.684,0.312,0
"30","1","C3",1.51,0,0.804,0.592,0
"31","1","Dcn",1.48,0,0.995,0.792,0
"32","1","Cygb",1.37,0,0.75,0.485,0
"33","1","Col5a3",1.33,0,0.703,0.395,0
"34","1","Dpt",1.26,0,0.738,0.591,0
"35","1","Plp1",1.21,0,0.639,0.537,0
"36","1","Rspo1",1.15,0,0.755,0.402,0
"37","1","Krt19",1.14,0,0.721,0.446,0
"38","1","Igfbp5",1.14,0,0.988,0.803,0
"39","1","Cldn10",1.13,0,0.715,0.36,0
"40","1","Col14a1",1.12,0,0.855,0.65,0
"41","5","Cidec",3.11,0,0.424,0.359,0
"42","5","Retn",2.86,0,0.709,0.5,0
"43","5","Car3",2.35,0,0.508,0.475,0
"44","5","Cfd",2.2,0,0.548,0.567,0
"45","5","Hp",2.08,0,0.58,0.438,0
"46","5","Thrsp",2,0,0.667,0.574,0
"47","5","Cytl1",2,0,0.576,0.539,0
"48","5","Ptprb",1.99,0,0.748,0.582,0
"49","5","Pecam1",1.66,0,0.821,0.649,0
"50","5","Bmx",1.54,0,0.662,0.492,0
"51","5","Egfl7",1.43,0,0.689,0.607,0
"52","5","Cd36",1.41,0,0.741,0.627,0
"53","5","Rflnb",1.39,0,0.707,0.563,0
"54","5","Cdh5",1.35,0,0.699,0.548,0
"55","5","Cavin2",1.31,0,0.977,0.807,0
"56","5","Gpihbp1",1.29,0,0.631,0.513,0
"57","5","Adgrf5",1.27,0,0.703,0.524,0
"58","5","Podxl",1.27,0,0.676,0.58,0
"59","5","Fabp4",1.27,0,1,0.921,0
"60","5","Sema3g",1.23,0,0.675,0.423,0
"61","8","Cyp1a1",7.37,0,0.753,0.251,0
"62","8","Gm12002",7.3,0,0.831,0.405,0
"63","8","Car4",7.3,0,0.91,0.4,0
"64","8","Aplnr",7.26,0,0.71,0.348,0
"65","8","Aqp7",7.16,0,0.925,0.315,0
"66","8","Cxcl9",6.94,0,0.875,0.321,0
"67","8","Tmem182",6.82,0,0.81,0.369,0
"68","8","Pcdh17",6.73,0,0.817,0.388,0
"69","8","Depp1",6.22,0,0.752,0.382,0
"70","8","C1qtnf9",6.15,0,0.895,0.419,0
"71","8","Robo4",6.07,0,0.872,0.347,0
"72","8","Ablim3",6.04,0,0.837,0.4,0
"73","8","Btnl9",6,0,0.943,0.477,0
"74","8","Cd300lg",5.9,0,0.981,0.558,0
"75","8","Gpihbp1",5.89,0,0.994,0.499,0
"76","8","Tbx3",5.88,0,0.763,0.368,0
"77","8","Rbp7",5.77,0,0.905,0.422,0
"78","8","Dll4",5.67,0,0.808,0.378,0
"79","8","Tcf15",5.54,0,0.953,0.511,0
"80","8","Fscn1",5.53,0,0.857,0.449,0
"81","2","Fgf10",6.51,0,0.615,0.238,0
"82","2","Sult5a1",6.42,0,0.675,0.289,0
"83","2","Serpina3n",6.4,0,0.709,0.382,0
"84","2","Itga11",6.26,0,0.675,0.314,0
"85","2","Opcml",6.18,0,0.767,0.402,0
"86","2","Ms4a4d",6.17,0,0.788,0.367,0
"87","2","Has2",6.14,0,0.716,0.382,0
"88","2","1700019D03Rik",6.13,0,0.781,0.377,0
"89","2","C7",6.06,0,0.618,0.324,0
"90","2","Cilp",5.98,0,0.445,0.176,0
"91","2","Myoc",5.96,0,0.468,0.223,0
"92","2","Svep1",5.93,0,0.743,0.325,0
"93","2","Dact2",5.83,0,0.653,0.349,0
"94","2","Cpz",5.73,0,0.516,0.389,0
"95","2","Aox3",5.72,0,0.661,0.291,0
"96","2","Wnt10b",5.71,0,0.687,0.429,0
"97","2","Olfml3",5.69,0,0.681,0.365,0
"98","2","Srpx",5.69,0,0.739,0.364,0
"99","2","Dlk1",5.67,0,0.491,0.204,0
"100","2","Wnt2",5.67,0,0.717,0.38,0
"101","10","Gm30211",10.03,0,0.777,0.033,0
"102","10","Iglc3",9.47,0,0.851,0.208,0
"103","10","Fcmr",9.46,0,0.746,0.008,0
"104","10","Oosp1",9.28,0,0.934,0.008,0
"105","10","Ms4a1",8.95,0,0.897,0.16,0
"106","10","Cxcr5",8.9,0,0.327,0.004,0
"107","10","Cd79a",8.63,0,0.975,0.062,0
"108","10","Mzb1",8.42,0,0.759,0.086,0
"109","10","Iglc1",8.38,0,0.922,0.155,0
"110","10","Ly6d",8.37,0,0.938,0.088,0
"111","10","Fcrla",7.96,0,0.567,0.027,0
"112","10","Iglc2",7.87,0,0.924,0.261,0
"113","10","Cd79b",7.82,0,0.96,0.274,0
"114","10","Gm8369",7.78,0,0.728,0.061,0
"115","10","Ighd",7.31,0,0.751,0.034,0
"116","10","Pou2af1",7.26,0,0.568,0.086,0
