"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rps28",-0.790668363985525,11.6131654162118,-68.4904954082146,0,0,1914.42797528395
"Lars2",-0.800243996874586,11.7628930798179,-66.1030214798884,0,0,1803.8634978978
"Rps27",-0.676163008851399,11.738519350154,-64.4590466196333,0,0,1728.61646683053
"Rps29",-0.496810555063014,12.0981771277461,-62.9830885065237,0,0,1661.7502161589
"Rps21",-0.455455582881912,12.0661309232227,-62.8799078575925,0,0,1657.09745259275
"Rpl37a",-0.472947680016507,12.0431438694551,-57.6142541855159,0,0,1424.42806226532
"Tmsb4x",0.251570962092616,12.9681647629305,52.8115395848663,0,0,1221.28363443963
"Rpl39",-0.512467543765794,11.8394088890452,-52.3054071775298,0,0,1200.44104994918
"Tmsb10",-0.744852244078892,10.6779059360855,-49.8436390804173,0,0,1100.73980491873
"Rpl35a",-0.365545100434653,12.0414845512511,-44.5480352726102,0,0,896.452015157894
"mt-Atp6",0.242887822610212,13.2614763297586,43.3268875408562,0,0,851.442480951513
"mt-Cytb",0.250552081896501,13.0653286667618,41.497577627062,0,0,785.699615372338
"Syne1",-0.596955444739617,10.6640509664395,-41.4510424880839,0,0,784.095358028466
"mt-Co3",0.238007908176042,13.2283508260126,40.7848459891706,0,0,760.616204901817
"Fth1",0.201797825677691,12.7813748817418,40.1090315851118,0,0,737.149507681065
"mt-Atp8",-0.599622304155998,11.0394911616846,-38.8460655274967,1.32491829017326e-307,1.65614786271657e-305,694.075346033165
"Mgp",0.474520960425998,12.5927767721101,38.7515920171296,3.21348023365762e-306,3.78056498077367e-304,690.843389409263
"Mgll",-0.537383912861861,10.5624459297528,-37.935617398212,2.30853690225591e-294,2.56504100250656e-292,663.580024867918
"Syne2",-0.477303734719545,10.4058541739023,-36.7716680355259,8.8680838050304e-278,9.33482505792673e-276,625.391732157233
"Rps19",-0.33478206721413,11.9340965288548,-36.744906149033,2.11126578872865e-277,2.11126578872865e-275,624.587493468307
"Crip1",-0.429552802149747,11.7686881258683,-36.6977307305972,9.7296758888595e-277,9.26635798939e-275,623.067563170359
"mt-Co2",0.214700705279654,13.1509167608596,36.6551043531048,3.86464915796173e-276,3.51331741632885e-274,621.615059283753
"Myl6",0.228414911226404,12.7009491841544,36.244993414119,2.10407458206129e-270,1.82963007135764e-268,608.450514616964
"Myh9",-0.484521128594109,10.4789471250616,-35.6526178971229,3.31637293527741e-262,2.76364411273118e-260,589.593483940941
"Ahnak",-0.328155655448887,11.8557026214534,-35.3661594514601,2.80136187973687e-258,2.2410895037895e-256,580.608274080309
"Sptbn1",-0.530425516747664,11.1633993792424,-35.1955684489611,5.94437685054055e-256,4.57259757733889e-254,575.2775509097
"mt-Nd2",0.229798961509609,12.9418004418276,34.8294223926047,5.47587657226753e-251,4.05620486834632e-249,563.776278863242
"mt-Nd4",0.219518753570105,12.87402505303,34.1518874898296,6.56562611965068e-242,4.68973294260763e-240,542.899491477251
"mt-Nd1",0.228860599651826,12.792390941684,34.0942268403816,3.83201339763392e-241,2.64276786043718e-239,541.143199655401
"Txnip",-0.530368576111035,11.0333006396439,-33.625499344923,5.93537568059113e-235,3.95691712039409e-233,526.985038631774
"Gm42418",-0.208423127054949,13.2676750571072,-33.5939452560272,1.54066076047677e-234,9.93974684178562e-233,525.926760838847
"Rps15a",-0.291369811394045,11.9912200097558,-33.5630492693812,3.91765370926026e-234,2.44853356828766e-232,525.070591211401
"Klf7",-0.463594064209991,10.5630003683511,-33.5379958461991,8.34602206621751e-234,5.05819519164698e-232,524.296850758948
"Map1a",-0.464268877798537,10.5096630650313,-33.4907899693356,3.4659606711957e-233,2.038800394821e-231,522.860430221149
"Tpm2",0.488857796323304,12.3428640695048,33.4885968507687,3.70283329398344e-233,2.11590473941911e-231,522.807594552844
"Acta2",0.428293078135626,12.7395614066583,33.2509763865971,4.68144936341418e-230,2.60080520189677e-228,515.647769145196
"Tagln",0.472488469147116,12.6074637860698,33.0298616401779,3.47452964297693e-227,1.87812413133888e-225,509.055245084158
"Plpp3",-0.518498457895326,10.6601713876836,-33.0147794333685,5.44671306531225e-227,2.86669108700645e-225,508.641754459118
"Rpl30",-0.23677425711138,12.1145048788051,-32.816652430984,1.96893893988057e-224,1.00971227686183e-222,502.75386065846
