"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Tpm2",1.68507254217124,12.0836549295277,103.213858107101,0,0,3536.13093614782
"Tagln",1.75337241114068,12.3232201459209,99.3335874981261,0,0,3349.66515712127
"Acta2",1.78003268866643,12.4298222326327,99.0405290088544,0,0,3335.55857937648
"Csrp2",1.44331362893211,11.9848284704589,94.1623026189848,0,0,3100.88735687269
"Mgp",1.61798851827956,12.3987276234638,93.0307490929994,0,0,3046.44066813282
"Ccn2",1.43627509435989,11.6531210967876,92.6733120741034,0,0,3029.28149445354
"Itga8",1.3856163257492,11.591591454881,90.0290124822476,0,0,2902.22082093942
"Dstn",1.33882634576296,12.138878149206,88.4471380701373,0,0,2826.31205985368
"Myl9",1.46547440736443,11.8960147305821,87.3964258415984,0,0,2775.96932117687
"Myh11",1.40678174522907,11.8749507637428,82.880360993667,0,0,2560.31682564325
"Bgn",1.24889736149578,11.9178771447006,79.7580986135599,0,0,2412.19993364257
"Cd9",1.15468931223268,11.8681133703203,79.6725038494438,0,0,2408.15350875757
"Myl6",0.900089517889397,12.7282665085729,79.411170088692,0,0,2395.80336953434
"Cald1",1.23053159617574,11.9347234457567,78.3554282175998,0,0,2345.99339877484
"Nupr1",1.12231366530421,11.4836459140319,77.5758609203925,0,0,2309.28834152362
"Igfbp7",1.30826007873786,12.2062046164896,77.2037946779681,0,0,2291.81870982831
"Cnn1",1.14023693742847,11.4240014475701,75.9217574641936,0,0,2231.68888401341
"Ptgis",1.09843010695107,11.4865119501879,75.8203927901756,0,0,2226.94999127051
"Ltb",-0.638667023358844,10.4045081656403,-75.8225181317295,0,0,2226.83791737792
"Cpe",1.12225415619693,11.5962482940871,74.8545256447511,0,0,2181.83736906623
"Ighd",-0.5781127622196,10.3547572572311,-73.6467847616345,0,0,2125.36099884583
"Pmepa1",1.06266203767755,11.4941011576218,73.1328037793266,0,0,2101.77159341281
"Serpine2",1.08870017421638,11.3919962261666,73.060671505424,0,0,2098.42146787817
"Ptprcap",-0.589043918803684,10.3812791264258,-72.8135132878769,0,0,2086.73253360182
"Sost",1.10067820625356,11.3162042408696,72.3873692233433,0,0,2067.24796157009
"Flna",1.11216914762172,11.8616994016454,71.5725485544777,0,0,2029.6665199222
"Cd72",-0.475076683756201,10.2961507744386,-71.3966029998824,0,0,2021.21748221628
"Actn1",1.07290521075414,11.5306215888129,70.9829826779437,0,0,2002.51533130275
"Gimap1",-0.606728319879533,10.4083469287555,-70.7903634531043,0,0,1993.42721045253
"Lpp",1.07836592726031,11.6257767683405,70.5462718480763,0,0,1982.46182283889
"Fcmr",-0.528241305829273,10.3368310298699,-70.3888314171412,0,0,1974.93818754553
"Vpreb3",-0.456516203819616,10.2906003447052,-70.0887859762098,0,0,1961.14160945693
"Rhoh",-0.504727621645692,10.3231384419402,-69.4209170453175,0,0,1930.62770613037
"Tpm1",1.0832654241681,11.7108806276792,69.349121910293,0,0,1927.67472593349
"Ptpn6",-0.540581807679809,10.3526275619702,-69.3539879216246,0,0,1927.59885079996
"Il2rg",-0.527787233241579,10.3452767142486,-69.1800307282017,0,0,1919.65395108442
"BE692007",-0.522971629459725,10.3286297802445,-69.0830525011781,0,0,1915.2159210933
"Fhl1",1.01484288740657,11.4699840320257,69.061575104052,0,0,1914.54733248738
"Ms4a4c",-0.44328047242181,10.285478020092,-68.9543878088034,0,0,1909.30766617416
"Ly6e",-1.07113829892408,10.8931146810447,-68.8975617922841,0,0,1907.05378801499
"Cxcr4",-0.549878683274361,10.3572578784205,-68.7444332899885,0,0,1899.81403050343
"Pls3",0.996444737276825,11.4645315737317,68.7042209988173,0,0,1898.27080172559
"Vim",1.01107053273957,12.4554147229876,68.4719569749196,0,0,1887.75038688646
"Ralgps2",-0.523039989615594,10.3273406629317,-68.43843852296,0,0,1885.86698072919
"Irf8",-0.515395788164971,10.3331169094737,-68.2351513054705,0,0,1876.63594927039
"Sell",-0.478889373564428,10.3119725940693,-68.1761899187449,0,0,1873.93838230298
"Fblim1",1.02384465088486,11.4207409498754,68.1470309240833,0,0,1872.94302082575
"Gm8369",-0.509869792190564,10.3269433756395,-68.1038797111812,0,0,1870.6705715707
"Lgals1",1.03374252938257,11.9047443964853,67.8794252113857,0,0,1860.83479904518
"Gpr171",-0.440922886955741,10.2826353565807,-67.8691162190315,0,0,1859.97688764575
"Synpo2",1.00094471073993,11.3320719326686,67.7929378436951,0,0,1856.8795178606
"Ikzf3",-0.437641265873891,10.2805252132295,-67.7015688749572,0,0,1852.38197301134
"Arhgap45",-0.540060294497449,10.3442598227122,-67.6300574406462,0,0,1849.20797340594
"Gpr183",-0.516393118494005,10.3363909170776,-67.5955753508097,0,0,1847.63944264906
"Rac2",-0.628024483311227,10.4375747572259,-67.5047516331701,0,0,1843.60896691327
"Gimap6",-0.65521539137327,10.4663398915318,-67.4486850038719,0,0,1841.08940317329
"Rbp1",0.992094978221843,11.4624326695507,67.3923445180238,0,0,1838.75714882463
"Ogn",1.06412433509967,11.5947751884754,67.3834941677839,0,0,1838.36270577755
"Mylk",1.02350575855801,11.4560629093208,67.0826417554388,0,0,1824.7625028451
"Tespa1",-0.422012282292355,10.2735939583618,-67.0586081855632,0,0,1823.29799190529
"Ciita",-0.473842233500314,10.304801320946,-67.0118892081042,0,0,1821.2241747962
"Stap1",-0.536588974370806,10.346792156075,-66.8552835825842,0,0,1814.19929017813
"Eln",1.0465121403915,11.6497272056282,66.5973422637607,0,0,1802.89181158939
"H2-Ob",-0.49289670817801,10.3211267413478,-66.5679482647195,0,0,1801.22604394239
"Slamf6",-0.434126561199543,10.2776252778754,-66.4953728488894,0,0,1797.91192110733
"Ptprc",-0.712997632644775,10.4929390781468,-66.4536477557576,0,0,1796.20525086889
"Lcp1",-0.643552025088292,10.4443209400204,-66.3814214812488,0,0,1792.9302030534
"Ifi203",-0.605437853746794,10.4210162647059,-66.3663421522507,0,0,1792.23940778996
"Gm26740",-0.49651140405622,10.3166695380567,-66.3551374977991,0,0,1791.64395552559
"Pcdh7",0.986221173875707,11.3447217540214,66.0967955630999,0,0,1780.3625134778
"Ccr7",-0.481615702219637,10.3128422806104,-65.8764190472433,0,0,1770.13545761451
"Postn",1.01516480980132,11.3728314577107,65.6986157101678,0,0,1762.49972058694
"Fmnl1",-0.459618832572442,10.3048823110998,-65.651093319241,0,0,1760.02457937057
"Neurl3",-0.504858230503011,10.3305935736003,-65.6375476079934,0,0,1759.44335225751
"Rasgrp3",-0.484712390172325,10.3150506518229,-65.5063677035461,0,0,1753.552918836
"Iglc3",-0.519346044780168,10.3417953101051,-65.2359491688813,0,0,1741.48155537839
"Cd55",-0.587987272806998,10.4041373930861,-65.2338769427988,0,0,1741.44271317887
"Hcst",-0.435932062637974,10.287989068472,-65.2220133655791,0,0,1740.80317430685
"Gimap4",-0.567146231037421,10.3958299214411,-65.1352346550792,0,0,1737.02845593498
"Ikzf1",-0.486557071779286,10.3279010615351,-65.090152327148,0,0,1734.95310791571
"Sp100",-0.602301505800023,10.4269130265445,-65.0458815983549,0,0,1733.06249562603
"Ripor2",-0.46813561400306,10.3113517207105,-64.9936101309514,0,0,1730.62559701932
"Limd2",-0.529349471470114,10.3710314165482,-64.9588555640008,0,0,1729.13155568734
"Bank1",-0.521045809368905,10.3429293483558,-64.9284301124945,0,0,1727.74772606223
"P2ry10",-0.470679404146463,10.3089124322791,-64.9106848742563,0,0,1726.92224552396
"Cd37",-0.610863078455855,10.4106246534659,-64.8672289560335,0,0,1725.07499061204
"Ifi209",-0.452229777989286,10.2980749861266,-64.7593606499897,0,0,1720.16157631071
"Dusp2",-0.470360375082896,10.3112547055073,-64.5965858528969,0,0,1712.92237846459
"Coro1a",-0.704129327766708,10.5020984425054,-64.5818330846882,0,0,1712.40752605721
