"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Lars2",-0.885624813194616,11.9512884758069,-65.0242297618349,0,0,1754.17898202313
"Tpm2",1.01077993490892,12.226966127149,58.8208559463708,0,0,1476.73427770507
"Tmsb4x",0.401952275907977,13.0410278491446,54.5906914550901,0,0,1295.33757166602
"Tagln",0.957633711799394,12.5113828464692,54.2547999484865,0,0,1281.22850847898
"Myl6",0.475886951395907,12.7248288782508,53.5158916970438,0,0,1250.38427661681
"Mgp",0.767596777164954,12.5926311358078,53.2525973503466,0,0,1239.44709973836
"Scara5",-0.45270464158104,10.1791413818926,-51.4121707754572,0,0,1163.63829230579
"Acta2",0.846099227453147,12.6773273672005,51.1194454176945,0,0,1151.98683019202
"Tmsb10",-0.757800737847822,10.8254059048405,-49.2530523990194,0,0,1077.19464365548
"Csrp2",0.748717767434398,12.1405861848378,48.5343249139956,0,0,1048.83500597019
"Gpc3",-0.478011704845805,10.2224314611571,-48.4485410628523,0,0,1045.2427644803
"Lgi2",-0.321341893208402,10.0908503028214,-47.3787446250921,0,0,1003.37552485371
"Fndc1",-0.385478499153944,10.16524913794,-47.3612650631888,0,0,1002.80364867593
"Myl9",0.833293513967234,12.0343750351714,47.1959058683928,0,0,996.731206900378
"Tshz2",-0.403616876365023,10.1893015537208,-45.5026580579078,0,0,931.836531904478
"Abca8a",-0.421671318015148,10.1615014951998,-45.4835950525163,0,0,931.08069781478
"Cd9",0.572558443519105,11.9647321511034,45.2994239114677,0,0,924.505259073915
"Gpx3",-0.33793021464729,10.0936174779724,-44.8816130150164,0,0,908.392195629408
"Lamb1",-0.294558205095459,10.0907733779961,-44.8616220382919,0,0,907.6416151756
"Anpep",-0.278297748745974,10.0891708881767,-44.5803393349784,0,0,897.155129473909
"Dstn",0.588040680858834,12.3011407436176,44.4068306127663,0,0,891.186367306056
"Adgrd1",-0.284223778405506,10.0730522624875,-44.3997511851897,0,0,890.423421453691
"Scn7a",-0.324881043390013,10.1048493020761,-44.3721205826572,0,0,889.44475953218
"Nupr1",0.650781827820904,11.5695990436908,44.2918174137675,0,0,886.925630712021
"Gm42418",-0.307938208495584,13.4651802319839,-44.1387407224367,0,0,881.259043270168
"Igfbp7",0.676611796775541,12.3001266326287,44.0992071105524,0,0,879.806146439028
"Rps28",-0.556591737494395,11.6423529159202,-44.0735334870509,0,0,878.859483941174
"Cygb",-0.390784324767207,10.1596762354492,-43.9790513077208,0,0,874.993683268797
"Dpt",-0.483604298986331,10.2661559983602,-43.8903202738785,0,0,871.858257196018
"Lbp",-0.281623256339127,10.0849396958787,-43.7303211726571,0,0,865.735472119495
"Gdf10",-0.392999299782174,10.1492878439722,-43.5902110097367,0,0,860.690609523271
"Clec3b",-0.580283540432607,10.3803425434651,-43.3294559971827,0,0,851.397909895146
"Fth1",0.278340956443474,12.8911465045176,43.3096933119003,0,0,850.841058386355
"Bicc1",-0.350088869896155,10.1300138479815,-43.2820285046681,0,0,849.399863368001
"Lpar1",-0.2843160255404,10.0952668167102,-43.1679735845152,0,0,845.194821776045
"Cd34",-0.496779430717661,10.3178748339122,-43.1427779300941,0,0,844.555163151226
"Klf4",-0.630960021215474,10.6048273414558,-43.0349299632775,0,0,840.791926822865
"Gfpt2",-0.295045661412212,10.0897402968736,-42.9580278784163,0,0,837.558560218679
"Emilin2",-0.29858900646172,10.116489494553,-42.8929601494486,0,0,835.239235758025
"Ms4a4d",-0.255559424784694,10.0600031822739,-42.8588725945929,0,0,833.919547107457
"Ebf2",-0.287779267353512,10.0812130596856,-42.7502994190354,0,0,830.024099074747
"C3",-0.529067780566425,10.3000380418972,-42.3082314951261,0,0,814.385742032001
"Fbln1",-0.389427078846435,10.1793628827686,-42.0982993907632,0,0,806.723738110519
"Dpep1",-0.296023230400762,10.0957697459752,-42.0563912889695,0,0,805.102614640728
"Igfbp6",-0.459856399390061,10.2471412131001,-41.9876520225868,0,0,802.856568603296
"Ccn2",0.716034407226523,11.8592845005627,41.9514816110262,0,0,801.866676428238
"Dcn",-0.828888351161163,10.7659803324986,-41.9022230752792,0,0,800.078108175168
"Itga8",0.730236030701858,11.7717456760481,41.8373314001243,0,0,797.799798419161
"Tgfbi",-0.422132457606624,10.2257709616381,-41.8371946406652,0,0,797.467423317778
"Lrrn4cl",-0.233308804521331,10.0526873058976,-41.6448995046167,0,0,790.379677882836
"Tm4sf1",0.633570148265914,11.9615005367817,41.6259535351416,0,0,790.289622246582
"Il33",-0.256009126788713,10.0744297759176,-41.6328336845101,0,0,789.985820144194
"Col5a3",-0.273113801804454,10.0564649970353,-41.3506952149964,0,0,779.968780792425
"Pi16",-0.52623371338394,10.3252448961103,-41.2515802211457,0,0,776.822709760347
"C7",-0.248867748485068,10.0400457852515,-41.1725757782888,0,0,773.661286402533
"Xdh",-0.321445881659205,10.1370949398191,-41.0293114558375,0,0,768.772412459424
"Man1a",-0.371177510367845,10.2276930226038,-40.9781026357866,0,0,767.102685056162
"Tmem100",-0.278190273875355,10.0936643116075,-40.9094404577807,0,0,764.501524459681
"Pdgfra",-0.367552221482541,10.1701196907689,-40.8483877075287,0,0,762.476962459275
"Igsf10",-0.255067116432635,10.062116265325,-40.7377047967188,0,0,758.442480444176
"Arhgap20",-0.248086889923169,10.061879737157,-40.5730195818767,0,0,752.695758295518
"Pdpn",-0.238284287527318,10.0588766791915,-40.5347153203994,0,0,751.356759016449
"Spock2",-0.206147432743116,10.0264638549657,-40.5016011510613,0,0,750.150622808866
"Fbln2",-0.43723634633403,10.2906851246994,-40.2747762113421,0,0,742.646512367352
"Ppl",-0.229726064683852,10.0495077245628,-39.9240932946965,1.97626258336499e-323,6.07700744384733e-322,730.195746086328
"Steap4",-0.248854725639893,10.0491210497999,-39.8049676784794,8.69555536680594e-322,2.63485208927137e-320,726.096738440183
"Ccl11",-0.277608784395149,10.0938230965929,-39.7165541231954,1.80926839507064e-320,5.40077979438442e-319,723.131078095983
"Cd55",-0.290015299184075,10.1180408559406,-39.5370788951908,8.49251414899102e-318,2.49779827911501e-316,717.021233884831
"Fyn",-0.27297649505728,10.1227668672129,-39.449932117557,1.67137151129622e-316,4.84455510735454e-315,714.051242437055
"Aldh1a3",-0.229249803989475,10.0530870478821,-39.4310858008608,3.18160835404465e-316,9.09030958369051e-315,713.298487093564
"Gm26917",-0.547462383250428,10.2947917540091,-39.4131112805642,5.8775591702221e-316,1.65565047040855e-314,713.030548721558
"Itih5",-0.284474126843696,10.0942050894532,-39.3410388698464,6.87213743558536e-315,1.90892706541842e-313,710.292902207786
"Ildr2",-0.236445922271519,10.0504731237942,-39.3192882756201,1.44241153657875e-314,3.95181242896326e-313,709.482594522649
"Svep1",-0.263784904493924,10.0704449341285,-39.1898194629418,1.18320053314026e-312,3.19783927875729e-311,705.110689171677
"C2",-0.225758224459991,10.0484162468567,-39.1556660529592,3.77733810189941e-312,1.00729016050651e-310,703.914885796964
"Lum",-0.383844385424084,10.2001696675132,-39.1311245590425,8.69432778865431e-312,2.28798099701429e-310,703.313040370385
"Podn",-0.258300153544099,10.0649878623279,-39.0783425365181,5.21605807196944e-311,1.35482027843362e-309,701.318226183162
"Cpxm1",-0.248629203862263,10.0743355710642,-38.9505944686706,3.95727815442769e-309,1.01468670626351e-307,697.007465505672
"Lgals1",0.516859731763251,11.9659415625982,38.8543146378942,1.02646393204941e-307,2.59864286594788e-306,694.347762156894
"Cadm3",-0.211042233137562,10.0420803926724,-38.8031015110661,5.78628339144859e-307,1.44657084786215e-305,691.972569183399
"C1ra",-0.31658157557573,10.1583942811854,-38.7829212250424,1.14327089912811e-306,2.78846560762954e-305,691.473731248385
"Inmt",-0.27347810360436,10.0736028522956,-38.7838095900586,1.10951255973796e-306,2.73953718453818e-305,691.373430630477
"Thy1",-0.244705056761076,10.0724381808412,-38.6404609537738,1.3890756186094e-304,3.34717016532387e-303,686.544952682695
"Dnm1",-0.205268084634993,10.0386749035224,-38.5345617955071,4.8824838000168e-303,1.16249614286114e-301,682.932259957294
"Itm2a",-0.232153276110543,10.0632874941944,-38.5330613191172,5.13478418859833e-303,1.20818451496431e-301,682.922663212895
"Procr",-0.255635032479727,10.0987784281434,-38.37124686952,1.16559898119396e-300,2.71069530510222e-299,677.558162726636
"Nid1",-0.403690178765533,10.2728045589177,-38.1357910682112,3.0313779297483e-297,6.9686848959731e-296,669.944767227893
"Serpinf1",-0.394994697520652,10.241656424563,-38.0933455136925,1.24627222374936e-296,2.83243687215764e-295,668.494437584458
"Adamtsl1",-0.257883142804252,10.0811360676454,-38.0278326455083,1.10218018875555e-295,2.47680941293382e-294,666.081021437335
"Mmp2",-0.320595507158835,10.170521952696,-37.9743093149116,6.52746932122574e-295,1.45054873805017e-293,664.440531827039
"Srpx",-0.233851881446919,10.0564240986572,-37.9725256171183,6.92587469148661e-295,1.52217026186519e-293,664.204476385555
"Olfml3",-0.231768947427542,10.0573345706344,-37.9550243039208,1.23846204065061e-294,2.69230878402306e-293,663.624988987693
"Smpd3",-0.265114201511214,10.0818163654228,-37.9092200093977,5.66332531541072e-294,1.21791942266897e-292,662.145052742317
