"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cd209d",4.40823183272162e-304,-22.9387947736623,0.041,0.673,6.60264963905045e-300
"Ptpn18",0,-22.7622181085745,0.016,0.832,0
"Eps8",0,-22.7248281002035,0.007,0.822,0
"Ctss",0,-22.4408034542329,0.008,0.862,0
"Klra2",4.2648453843122e-94,-22.2097715330655,0.004,0.265,6.38788541662282e-90
"Pld4",0,-22.0364210242935,0.004,0.859,0
"Clec4a1",0,-21.4840195257032,0.037,0.749,0
"Pla2g2d",1.23119173163596e-233,-21.4466797819733,0.034,0.524,1.84407897564435e-229
"Bcl2a1b",0,-21.4451905809663,0.012,0.653,0
"Csf1r",0,-21.4107875312804,0.011,0.866,0
"Fcgr3",0,-21.3693912181622,0.011,0.899,0
"Adgre1",0,-21.3572302291148,0.004,0.816,0
"Mgl2",0,-21.3320554347738,0.014,0.846,0
"Ms4a7",0,-21.2346257341402,0.006,0.599,0
"Cotl1",0,-21.2307713110776,0.012,0.871,0
"Cyth4",0,-21.0193789977875,0.051,0.861,0
"Slc9a9",1.06675393909564e-303,-20.837892673393,0.059,0.706,1.59778404997745e-299
"Mmp9",0,-20.735363869736,0.014,0.653,0
"Cd209g",1.33104389231408e-127,-20.6342842526586,0.074,0.425,1.99363754190803e-123
"Fxyd2",0,-20.6264681242537,0.029,0.71,0
"Aif1",0,-20.5812594275083,0.005,0.756,0
"Mpeg1",1.59688774554436e-303,-20.5191407567786,0.022,0.654,2.39181846527634e-299
"Cd209a",8.26601696339609e-245,-20.4029896599594,0.037,0.602,1.23808402077747e-240
"Fcgr1",0,-20.3668009924983,0,0.67,0
"Cd209f",2.83490361684431e-131,-20.2255786620197,0.111,0.476,4.24611863730941e-127
"Fcna",2.25422513164218e-147,-20.220908366231,0.158,0.59,3.37637840217365e-143
"Pltp",0,-20.1963445736441,0.02,0.734,0
"Fxyd5",5.87146919420637e-273,-20.1560812132583,0.06,0.724,8.79428655908231e-269
"Trem2",0,-20.1245495604563,0.002,0.728,0
"Ednrb",1.40806670694928e-210,-20.0528045249931,0.008,0.51,2.10900231366862e-206
"Clec12a",0,-19.8889270096001,0.014,0.656,0
"Itgb2",0,-19.8421148295492,0.017,0.75,0
"Tifab",1.09608565370481e-201,-19.76194195732,0.004,0.468,1.64171709211906e-197
"Ctsb",4.43119899951905e-136,-19.7276422547708,0.25,0.672,6.63704986147964e-132
