cluster,gene,p_val_adj,p_val,avg_log2FC,pct.1,pct.2
0,Gm36287,0,0,7.684202327162079,0.209,0.179
0,2310015A16Rik,0,0,8.018101311381375,0.197,0.12
0,Oat,0,0,8.115865663916757,0.719,0.206
0,4930417O22Rik,4.6298815524005124e-299,3.091121346241496e-303,8.158084058970518,0.225,0.128
0,Dpp10,0,0,8.159151671601531,0.134,0.081
0,Mzf1,0,0,8.42662331253253,0.134,0.104
0,Gm48079,0,0,8.916593762603636,0.132,0.233
0,B230334C09Rik,0,0,9.401773375607451,0.155,0.084
0,Gm50410,0,0,10.34280788968345,0.171,0.097
0,4833415N18Rik,0,0,10.347329327613307,0.212,0.107
0,Klre1,0,0,-19.186046786109188,0.002,0.264
0,Fxyd2,0,0,-19.21195376909509,0.008,0.111
0,Folr2,0,0,-19.468336096813275,0.005,0.071
0,Acod1,0,0,-19.498191644284727,0.023,0.448
0,AA467197,0,0,-19.670223910609693,0.008,0.12
0,Fam57b,0,0,-19.68766727914265,0.011,0.121
0,Tlr7,0,0,-20.65984080859768,0.005,0.086
0,Hdac7,0,0,-21.051598667118498,0.195,0.315
0,Cd209g,0,0,-21.499533691471008,0.012,0.08
0,St6galnac2,0,0,-24.49094002254168,0.012,0.128
1,Enah,0,0,7.097727371031491,0.787,0.29
1,Ldb3,3.590263165449477e-287,2.3970244127717163e-291,7.161189268599101,0.546,0.236
1,Pdlim5,1.3853401046118912e-204,9.249166141086202e-209,7.166151444534621,0.542,0.295
1,Carmn,0,0,7.2060484607313215,0.833,0.181
1,Ddi1,0,0,7.264177832693562,0.554,0.094
1,Aopep,0,0,7.525158300714428,0.684,0.294
1,Igsf9b,0,0,7.742603436578333,0.647,0.192
1,Kcnj13,9.482081949011982e-5,6.33067295300573e-9,9.031945077335301,0.228,0.116
1,Wwp2,0,0,9.114237846889054,0.762,0.257
1,Myom1,0,0,10.329421239392792,0.85,0.273
1,Eps8,4.1407381943439724e-23,2.7645467982000082e-27,-18.68001107859018,0.007,0.159
1,Ltb4r1,2.1235293103810488e-160,1.4177655964621771e-164,-18.735149763357583,0.003,0.084
1,Cd209d,3.8932811776815877e-190,2.5993331403936357e-194,-18.871330728859164,0.041,0.085
1,Sh3bp5,5.388518888338212e-21,3.5976224384685617e-25,-19.08565636118757,0.009,0.212
1,Ptprb,4.3161309058339174e-108,2.8816470195179044e-112,-19.12518058202256,0.029,0.179
1,Cldn5,7.023094507892746e-163,4.6889401174340675e-167,-19.341542391326946,0.02,0.136
1,Cd3g,6.7139916571587274e-226,4.482568872452081e-230,-19.36648157437955,0.007,0.067
1,Hcst,1.5825479852023998e-142,1.0565816432116436e-146,-19.929738313654703,0.015,0.108
1,Ptpn18,2.907496915941818e-34,1.9411783388582039e-38,-21.150464620053356,0.016,0.179
1,Snca,4.992568827207323e-239,3.33326801122134e-243,-22.36892593264001,0.006,0.069
2,Lgalsl,2.525094187025686e-45,1.685868732157622e-49,8.66774843427396,0.215,0.281
2,Ube2r2,1.7656786459345136e-42,1.1788480744655586e-46,8.795633332786158,0.464,0.345
2,Wnk2,1.3363394001644872e-160,8.922014956365918e-165,8.80996334370674,0.064,0.08
2,Ndufc1,8.861252384413167e-16,5.91617865163117e-20,8.836748915223492,0.363,0.356
2,Lhcgr,3.845125843613291e-199,2.5671824299728206e-203,9.197665478723549,0.108,0.051
2,Rwdd1,8.080339107571468e-9,5.394805119222505e-13,9.222381664123372,0.307,0.328
2,Rergl,1.699980096602565e-45,1.13498470864105e-49,9.247656610114127,0.132,0.039
