"","cluster","gene","avg_log2FC","p_val","pct.1","pct.2","p_val_adj"
"1","0","4833415N18Rik",10.35,0,0.212,0.107,0
"2","0","Gm50410",10.34,0,0.171,0.097,0
"3","0","B230334C09Rik",9.4,0,0.155,0.084,0
"4","0","Gm48079",8.92,0,0.132,0.233,0
"5","0","Mzf1",8.43,0,0.134,0.104,0
"6","0","Dpp10",8.16,0,0.134,0.081,0
"7","0","4930417O22Rik",8.16,0,0.225,0.128,0
"8","0","Oat",8.12,0,0.719,0.206,0
"9","0","2310015A16Rik",8.02,0,0.197,0.12,0
"10","0","Gm36287",7.68,0,0.209,0.179,0
"11","0","Gm36543",7.68,0,0.235,0.224,0
"12","0","Pgpep1l",7.37,0,0.253,0.166,0
"13","0","Trpc6",7.36,0,0.03,0.23,0
"14","0","Dnah5",7.32,0,0.223,0.11,0
"15","0","Gm43136",7.27,0,0.259,0.107,0
"16","0","Cnr1",7.13,0,0.131,0.223,0
"17","0","4930563E22Rik",7.07,0,0.152,0.297,0
"18","0","Gm5144",6.98,0,0.269,0.078,0
"19","0","5430414B19Rik",6.97,0,0.16,0.257,0
"20","0","Rnf182",6.93,0,0.189,0.138,0
"21","1","Myom1",10.33,0,0.85,0.273,0
"22","1","Wwp2",9.11,0,0.762,0.257,0
"23","1","Kcnj13",9.03,0,0.228,0.116,0
"24","1","Igsf9b",7.74,0,0.647,0.192,0
"25","1","Aopep",7.53,0,0.684,0.294,0
"26","1","Ddi1",7.26,0,0.554,0.094,0
"27","1","Carmn",7.21,0,0.833,0.181,0
"28","1","Pdlim5",7.17,0,0.542,0.295,0
"29","1","Ldb3",7.16,0,0.546,0.236,0
"30","1","Enah",7.1,0,0.787,0.29,0
"31","1","Rbm5",6.84,0,0.413,0.32,0
"32","1","Pcgf5",6.82,0,0.46,0.271,0
"33","1","Wdfy1",6.82,0,0.519,0.184,0
"34","1","Large1",6.78,0,0.438,0.217,0
"35","1","Carns1",6.77,0,0.367,0.179,0
"36","1","Gm48053",6.73,0,0.631,0.111,0
"37","1","Nthl1",6.62,0,0.099,0.148,0
"38","1","Dmd",6.61,0,0.78,0.297,0
"39","1","Fgf11",6.59,0,0.152,0.188,0
"40","1","Cspg4",6.55,0,0.748,0.281,0
"41","2","Ephx3",9.64,0,0.027,0.058,0
"42","2","Cdk15",9.57,0,0.137,0.105,0
"43","2","Vpreb1",9.33,0,0.686,0.305,0
"44","2","Rergl",9.25,0,0.132,0.039,0
"45","2","Rwdd1",9.22,0,0.307,0.328,0
