"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Itga8",1.25972826499712,-0.261930281853863,40.5478399862693,0,0,747.76714702082
"Flna",1.24756325190577,-0.286176846721709,40.3192245054088,0,0,739.922437428472
"Dstn",1.35361175847821,-0.514601151681013,38.8527358353673,5.23709828202493e-306,2.61470860227231e-302,690.348637279623
"Pcdh7",1.02149506995575,-0.159329351458769,38.6383017997126,6.68848959821403e-303,2.50450493005124e-299,683.209912445473
"Actn1",0.917499075337986,-0.230985669076645,37.5954227299245,5.67887559846644e-288,1.70116397427661e-284,648.900930609629
"Fblim1",0.912015189912127,-0.209918809484903,37.5556171549856,2.0805297465694e-287,5.19369575735275e-284,647.604994264505
"Npnt",0.994360040425254,-0.186090460785578,37.0334662226277,4.72662750997578e-280,1.01136324063453e-276,630.699293777903
"Myh11",2.03276651683018,-0.626715925819272,36.6757029034647,4.68707351228675e-275,8.77537338337886e-272,619.217324729673
"Myl6",0.932757951010464,-0.35011544266359,36.0791273062656,8.35284903315032e-267,1.39009969798362e-263,600.256377532612
"Tagln",2.18811888176597,-0.898865571088959,35.9746955794995,2.26847657511624e-265,3.39772421420911e-262,596.96126121325
