"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Itga8",0.746947399819117,-0.0569761566103075,24.2531963380614,2.60287489519261e-126,3.89858601801948e-122,277.288201181115
"Pcdh7",0.614778721327646,0.00232169862507679,23.6257336650544,3.94485152621215e-120,2.95429930798028e-116,263.13933643861
"Dmd",0.630243030261633,0.0443113871362351,23.1897448896047,6.39086299754247e-116,3.19074486590637e-112,253.503356847133
"Flna",0.683410250505702,-0.0550512097146114,22.3518541256703,4.99004865496755e-108,1.8685237188526e-104,235.438278308183
"Cspg4",0.49763071837594,0.0491725093311678,21.1298221664219,5.47515092635685e-97,1.64013621149946e-93,210.172624932721
"Rbpms",0.477039026116028,-0.0107682397929635,21.0715082676442,1.78294729815398e-96,4.45083077195839e-93,208.999354052453
"Myom1",0.663740427145272,0.125736905102952,21.0295361466868,4.16286555883229e-96,8.90734290574143e-93,208.156713912409
"Fblim1",0.494186799787642,-0.0382526756685444,20.9233983579368,3.52887620401888e-95,6.60693847297435e-92,206.032732765338
"Dcn",-1.67126841750846,0.13704018901501,-20.5745775472925,3.69919605079851e-92,6.15628427209556e-89,199.121695524375
"Npnt",0.550893463995495,-0.00496590200134179,20.4278469627016,6.68025297515575e-91,1.00056829061883e-87,196.246464603482
